ObjectID,GlobalID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Tree Number,Species,Decay Class,Tree Damage Code,Damage Agent,Beetle,Cone Production,Shrubs under trees,Diameter Units,DBH,DBH_in,BA,Height Units,Height,Crown Base Height,CR,Max Crown Scorch Ht,Max Stem Char Ht,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1778,4ee16544-1af4-450c-9671-e49c29ee1483,LonePine,Pre,STS,No,Narraguinnep,,119,NA,,PIPO,L,,,G,,,cm,47.6,18.74015748,1.915409362,,43.1,22.6,47.5638051,,,,01f56345-7484-4dc3-a6bf-6fc648182cfb,8/16/2020 20:48,MSI.swindell,8/16/2020 20:48,MSI.swindell
1117,eaa88b97-75c5-4651-9b64-ea580b6e87bc,LonePine,Pre,STS,No,lake_canyon,BR11,173,NA,,PIPO,L,,,G,None,>half,cm,47.6,18.74015748,1.915409362,ft,64,29.4,54.0625,,4,,53bf77ef-7320-49fe-bb47-80ebfc23c07e,7/30/2020 21:20,MSI.swindell,7/30/2020 21:20,MSI.swindell
3291,1bb0612a-5680-45c1-b1b0-b8045c731d7d,LonePine,Pre,Control,Yes,Ormiston,,242,NA,,PIPO,L,,,G,,,cm,47.4,18.66141732,1.8993473,,54.4,18.8,65.44117647,,12,,2769aab2-da96-4d07-a1b5-654285d6a401,9/17/2020 20:10,MSI.swindell,9/17/2020 20:10,MSI.swindell
1388,9652c0f3-b1a3-452b-aca2-98ef293767ef,LonePine,Pre,LTR,No,lake_canyon,,42,90_BA,,PIPO,L,,,G,None,>half,cm,47.4,18.66141732,1.8993473,ft,61.5,15.8,74.30894309,,,,9fec61fd-c76e-4b8d-af31-0b496b1c4aca,7/30/2020 21:21,MSI.swindell,7/30/2020 21:21,MSI.swindell
1403,8fc9a176-323c-4711-bc0d-45c93a058d68,LonePine,Pre,LTR,No,lake_canyon,,46,70_BA,,PIPO,L,,,G,None,<half,cm,47.2,18.58267717,1.883352868,ft,60.9,9,85.22167488,,,,727d2673-3261-4b57-8e7c-64a3a98052ab,7/30/2020 21:21,MSI.swindell,7/30/2020 21:21,MSI.swindell
1245,be70fe2a-4633-4aea-a15c-5e0ce485e686,LonePine,Pre,LTR,No,lake_canyon,,168,NA,,PIPO,L,,,G,None,>half,cm,47.1,18.54330709,1.875381012,ft,72.1,24.4,66.15811373,,,,87d78be9-ccaf-4910-b991-65a7346e4370,7/30/2020 21:20,MSI.swindell,7/30/2020 21:20,MSI.swindell
3030,1778ca13-b192-400e-bd34-b4396c1febe1,LonePine,Pre,STS,No,Ormiston,,319,NA,,PIPO,L,,,G,,,cm,47,18.50393701,1.867426065,,53.7,22.3,58.47299814,,,,58e914e3-710e-49cf-bad6-b9b9f52704d0,9/17/2020 20:08,MSI.swindell,9/17/2020 20:08,MSI.swindell
519,989fad9c-54aa-4867-abcf-e6246e850672,LonePine,Pre,STS,No,Wolfden,,149,NA,3,PIPO,L,,,G,None,>half,cm,47,18.50393701,1.867426065,ft,66,8,87.87878788,,,,2dc79ac4-bbb9-4783-a506-4a748b5a9586,7/17/2020 3:54,MSI.forest,7/17/2020 3:54,MSI.forest
2475,a60b3225-b300-41b0-af9a-469b4ce5d365,LonePine,Pre,LTR,No,glade_canyon,,202,NA,,PIPO,L,,,G,None,<half,cm,47,18.50393701,1.867426065,ft,66.6,24,63.96396396,,,,5df5e93a-79f9-43a8-ac82-37bdc437fe7a,8/27/2020 18:37,MSI.swindell,8/27/2020 18:37,MSI.swindell
1047,73acc6dc-47df-4586-864e-1d2a7889560f,LonePine,Pre,STS,No,lake_canyon,BR11,170,NA,,PIPO,L,,,G,None,>half,cm,47,18.50393701,1.867426065,ft,68.6,24.1,64.86880466,,,,2b5c5e87-7274-4081-9a1f-f8e922a4bc4f,7/30/2020 21:20,MSI.swindell,7/30/2020 21:20,MSI.swindell
